"","score","text","polarity"
"1",0,"@BJP4India Travelling to my home town(Siwan, Bihar) from Pune to cast my vote on 12th May. Constituency: Maharajganj.","neutral"
"2",0,"RT @rajeev_mp: The last 5 yrs @narendramodi has done more to #SecureIndia n for the cause of our VETERANS n our ARMED FORCES thn all govts…","neutral"
"3",1,"RT @blsanthosh: The famous vacation of a PM ... Shameless @INCIndia argues that a PM is entitled for these trips .... Congress Mukt Bharath…","positive"
"4",1,"Massive self goal for the grand old party of India! Yes please vote for the said party and the said party is… https://t.co/ACskBZeDJa","positive"
"5",0,"@BJP4India After 23May BJP follower will be crashed like share market. 😜😜","neutral"
"6",1,"RT @Indiamining: Improved infrastructure due to mining activity support broader economic development within the region. 
#GoaMining #mining…","positive"
"7",-1,"RT @anusha_r1: @Tejasvi_Surya Tweeting isn't enough! And condemnation wouldn't change anything. She got arrested for posting a meme!!!!! So…","negative"
"8",1,"RT @AnupAgarwal9: Where is the freedom of expression gang? Where is democracy? #ISupportPriyankaSharma @BJP4India https://t.co/29CplMmPxh
#…","positive"
"9",-1,"RT @Indiamining: Years of #mining shutdown have meant loss of direct and indirect employment to more than 3 lakh people. #GoaMining @PMOInd…","negative"
"10",0,"@JagranNews @BJP4India @AmitShah Good","neutral"
"11",0,"@DhirajRMishra3 @BJP4Maharashtra @BJP4India @amitmalviya @iNarendraMehta @AshishMerkhed @Dev_Fadnavis @narendramodi… https://t.co/eQPQOW7v1f","neutral"
"12",1,"Do u agree that Modiji is by far d best PM who has put NTN b4 self? 
If yes, shuldn't we vote for Modiji
Jaiho n Ja… https://t.co/5iXEkha1It","positive"
"13",0,"RT @VMuppi: Now shri @RahulGandhi ji,  your statement below 
https://t.co/brGMI1OR3d

would not be necessary. Why did you outsource the app…","neutral"
"14",0,"""Hua to Hua"" remark made by @sampitroda regarding #SikhGenocide1984 is actually @INCIndia party line of thinking as… https://t.co/ZPcwdC4aC2","neutral"
"15",0,"@vivekgarg3344 @_sabanaqvi @NeetuGarg6 @sweetybliss11 @Aadishakti_101 @thewittydoctor @SwetaSinghAT @narendramodi… https://t.co/kBgH9LkWFP","neutral"
"16",0,"RT @rajeev_mp: The last 5 yrs @narendramodi has done more to #SecureIndia n for the cause of our VETERANS n our ARMED FORCES thn all govts…","neutral"
"17",0,"RT @VMuppi: Sam Pitroda @sampitroda ( full name - Satyanarayan Gangaram Pitroda) is a Gujarati. Why would he not help fellow gujarati PM @n…","neutral"
"18",1,"Do u agree that Modiji is by far d best PM who has put NTN b4 self? 
If yes, shuldn't we vote for Modiji
Jaiho n Ja… https://t.co/9ajWxuSOc4","positive"
"19",0,"RT @Sunil_Deodhar: In the past, she has branded students who question her goons as 'naxalites'! Is this how a democratically elected  CM re…","neutral"
"20",-2,"1 wrong vote can bring d terrorist till our door
N
1right vote can kill them on d border
Finally It's our vote, our… https://t.co/vnJPcs5fKa","negative"
"21",-2,"1 wrong vote can bring d terrorist till our door
N
1right vote can kill them on d border
Finally It's our vote, our… https://t.co/yIJqbiHbe4","negative"
"22",0,"Today is my birthday..@Swamy39 @atahasnain53 @SushmaSwaraj @narendramodi @nsitharaman @DrTamilisaiBJP @bhushan_gyan… https://t.co/H6gwWYksXR","neutral"
"23",-1,"RT @RKSinhaBJP: The @Time magazine Cover is a reflection of that Western mindset, which wants to define India by biased editorials ignoring…","negative"
"24",0,"RT @rajeev_mp: The last 5 yrs @narendramodi has done more to #SecureIndia n for the cause of our VETERANS n our ARMED FORCES thn all govts…","neutral"
"25",0,"@SinghPramod2784 @BJP4India Don't target him. He is a  sugar baron.
You will not get sugar for your home.","neutral"
"26",0,"@UdayMahurkar @davidfrawleyved @IndiaFactsOrg @authoramish @RSSorg @BJP4India @DattaHosabale @kumarnandaj… https://t.co/yoTJhsh2Nv","neutral"
"27",2,"RT @ahmedalifayyaz: I'm neither Modi bhakt nor impressed by @BJP4India ideology/governance. But impressed by this Kashmir BJP leader Sofi Y…","positive"
"28",0,"RT @shaziailmi: Aap’s Dirty tricks Dept at work.The same kind of filth was written about me by their trolls! Gautam Gambhir is a decent per…","neutral"
"29",1,"RT @agraharishivam7: Where is the freedom of expression gang? #ISupportPriyankaSharma @BJP4India https://t.co/D4m2gREpuu","positive"
"30",-1,"RT @PreetiSMenon: Shame on you @GautamGambhir.
We all know it's mandatory to be a filthy misogynist to be in @BJP4India but your sordid fak…","negative"
"31",0,"RT @vintananda: All know @sampitroda’s words are misrepresented deliberately to suit anti @INCIndia hyperbole of @BJP4India to garner lost…","neutral"
"32",0,"RT @BJP4India: BJP crosses the milestone of 11 million followers on Twitter. Thank you for your support. #JitegaModiJitegaBharat https://t.…","neutral"
"33",-3,"@anusha_r1 @Tejasvi_Surya @BJYM @BJP4India @PMOIndia Voting is the only protest we need. Need to tumble this dictator out from Bengal","negative"
"34",0,"@aatirsyed @GautamGambhir @BJP4India Syed, n u r nothing but 2002 victimcard player.

If u hv guts n if u r son of… https://t.co/lkMetsX6uS","neutral"
"35",0,"RT @shaziailmi: Aap’s Dirty tricks Dept at work.The same kind of filth was written about me by their trolls! Gautam Gambhir is a decent per…","neutral"
"36",1,"RT @AnupAgarwal9: Where is the freedom of expression gang? Where is democracy? #ISupportPriyankaSharma @BJP4India https://t.co/29CplMmPxh
#…","positive"
"37",0,"RT @SinghPramod2784: Sir! Sharad Pawar voted in South Mumbai Lok Sabha seat &amp; there was no @BJP4India candidate here as seat has gone to Sh…","neutral"
