"","word","freq"
"""aap","""aap",29
"""abey","""abey",1
"""absolut","""absolut",6
"""absolut"",","""absolut"",",2
"""acb","""acb",1
"""accord","""accord",1
"""action","""action",1
"""actual","""actual",1
"""ad","""ad",1
"""address","""address",2
"""affect","""affect",1
"""agra","""agra",1
"""agre","""agre",2
"""agre"",","""agre"",",2
"""akali","""akali",1
"""alleg","""alleg",1
"""allig","""allig",2
"""almost","""almost",17
"""alreadi","""alreadi",1
"""also","""also",4
"""alway","""alway",1
"""amaz","""amaz",1
"""amaz"",","""amaz"",",1
"""america","""america",2
"""amit","""amit",1
"""amitabh","""amitabh",1
"""ampthat","""ampthat",1
"""amrindersingh","""amrindersingh",1
"""anarchi","""anarchi",6
"""andh","""andh",1
"""andhbhakt","""andhbhakt",2
"""anger","""anger",1
"""anna","""anna",1
"""anti","""anti",1
"""antisikh","""antisikh",1
"""anupam","""anupam",1
"""anyon","""anyon",1
"""apki","""apki",1
"""apolog","""apolog",1
"""appal","""appal",2
"""arithmet","""arithmet",1
"""arr","""arr",3
"""arrog","""arrog",4
"""articl","""articl",1
"""arunjaitley","""arunjaitley",1
"""arvind","""arvind",2
"""arvindkejriw","""arvindkejriw",5
"""asham","""asham",3
"""asian","""asian",1
"""ask","""ask",2
"""assur","""assur",2
"""atishi","""atishi",1
"""atleast","""atleast",1
"""atroci","""atroci",1
"""author","""author",6
"""away","""away",1
"""awesom","""awesom",1
"""bad","""bad",2
"""bade","""bade",1
"""bank","""bank",1
"""basic","""basic",1
"""bat","""bat",1
"""becom","""becom",2
"""beg","""beg",1
"""believ","""believ",1
"""bengal","""bengal",6
"""bengalneedspresidentialrul","""bengalneedspresidentialrul",1
"""best","""best",2
"""bhade","""bhade",1
"""bhakt","""bhakt",2
"""big","""big",3
"""bihari","""bihari",1
"""bjp","""bjp",75
"""bjp"",","""bjp"",",1
"""bjpindia"",","""bjpindia"",",1
"""black","""black",1
"""blame","""blame",1
"""bodi","""bodi",1
"""bola","""bola",2
"""born","""born",2
"""boycotttimemagazin","""boycotttimemagazin",2
"""break","""break",4
"""breakingnew","""breakingnew",2
"""bribe","""bribe",1
"""brilliant","""brilliant",1
"""bring","""bring",1
"""bringbacktrueindolog","""bringbacktrueindolog",2
"""bro","""bro",1
"""bruh","""bruh",1
"""btw","""btw",1
"""busi","""busi",1
"""call","""call",2
"""can","""can",11
"""cancel","""cancel",1
"""candid","""candid",1
"""canmot","""canmot",1
"""cant","""cant",3
"""capt","""capt",1
"""carri","""carri",1
"""cautiousfew","""cautiousfew",1
"""centr","""centr",2
"""chaacha","""chaacha",1
"""channel","""channel",1
"""cheapcharli","""cheapcharli",1
"""cheat","""cheat",1
"""cheatedhomebuy","""cheatedhomebuy",1
"""chief","""chief",1
"""chowkidar","""chowkidar",1
"""circumst","""circumst",1
"""claim","""claim",1
"""clap","""clap",1
"""clean","""clean",1
"""closur","""closur",1
"""cn","""cn",1
"""come","""come",3
"""communal","""communal",1
"""concern","""concern",16
"""confer","""confer",1
"""confus","""confus",1
"""congratul"",","""congratul"",",1
"""congress","""congress",3
"""consid","""consid",1
"""consist","""consist",1
"""correct"",","""correct"",",1
"""cours","""cours",4
"""cow","""cow",1
"""crazier","""crazier",1
"""creepi","""creepi",1
"""cri","""cri",1
"""cultur","""cultur",1
"""cup","""cup",1
"""cut","""cut",1
"""data","""data",1
"""day","""day",3
"""dear","""dear",47
"""decid","""decid",1
"""defeat","""defeat",1
"""defin","""defin",1
"""degrad","""degrad",2
"""dekho","""dekho",1
"""delhi","""delhi",4
"""deliber","""deliber",1
"""delusion","""delusion",1
"""democraci","""democraci",1
"""deshdrohi","""deshdrohi",1
"""despair","""despair",1
"""desper","""desper",1
"""despit","""despit",1
"""didleram","""didleram",1
"""didnt","""didnt",1
"""dirti","""dirti",2
"""disast","""disast",1
"""discours","""discours",1
"""discuss","""discuss",1
"""disrespect","""disrespect",1
"""divid","""divid",2
"""dividerinchief","""dividerinchief",1
"""done","""done",1
"""donkey","""donkey",1
"""dont","""dont",28
"""due","""due",1
"""dumb","""dumb",1
"""eas","""eas",1
"""effect","""effect",1
"""elect","""elect",3
"""elect"",","""elect"",",1
"""electionalert","""electionalert",1
"""elector","""elector",2
"""eleph","""eleph",1
"""energi","""energi",4
"""engag","""engag",1
"""enter","""enter",1
"""entir","""entir",2
"""establish","""establish",8
"""even","""even",12
"""ever","""ever",1
"""everi","""everi",1
"""everyon","""everyon",1
"""evid","""evid",2
"""evm","""evm",1
