"","word","freq"
"""aa","""aa",1
"""aap","""aap",1
"""aatish","""aatish",3
"""abey","""abey",1
"""abhoganyay","""abhoganyay",2
"""absolut","""absolut",8
"""abus","""abus",1
"""accept","""accept",1
"""accessorymobslynchingbeefeatingmuslimswagthetail","""accessorymobslynchingbeefeatingmuslimswagthetail",1
"""accus","""accus",1
"""acknowledg","""acknowledg",1
"""action","""action",1
"""actual","""actual",2
"""admir","""admir",60
"""afford","""afford",1
"""afraid","""afraid",1
"""agre","""agre",3
"""agre"",","""agre"",",2
"""allig","""allig",2
"""alongwith","""alongwith",4
"""alreadi","""alreadi",1
"""also","""also",4
"""alway","""alway",1
"""amaz"",","""amaz"",",1
"""amid","""amid",1
"""amitabh","""amitabh",1
"""ampthat","""ampthat",1
"""amritsar","""amritsar",1
"""anand","""anand",1
"""anchor","""anchor",1
"""andh","""andh",1
"""anoth","""anoth",2
"""answer","""answer",1
"""anti","""anti",1
"""anyon","""anyon",1
"""apolog","""apolog",2
"""apologist","""apologist",1
"""appar","""appar",1
"""appear","""appear",3
"""archiv","""archiv",2
"""arey","""arey",1
"""arrog","""arrog",1
"""articl","""articl",1
"""arvind","""arvind",3
"""arxehox","""arxehox",1
"""asham","""asham",1
"""ask","""ask",2
"""atleast","""atleast",1
"""attempt","""attempt",1
"""atul","""atul",1
"""azaadi","""azaadi",2
"""bad","""bad",1
"""ban","""ban",6
"""bapu","""bapu",2
"""beauti","""beauti",1
"""becom","""becom",3
"""beg","""beg",1
"""behold","""behold",1
"""believ","""believ",2
"""bereft","""bereft",1
"""best","""best",2
"""bhai","""bhai",1
"""bhaisahab","""bhaisahab",1
"""bhakt","""bhakt",1
"""bhakton","""bhakton",1
"""big","""big",31
"""biggest","""biggest",1
"""bill","""bill",1
"""bizarr","""bizarr",2
"""bjp","""bjp",13
"""bloodi","""bloodi",1
"""bombay","""bombay",1
"""brilliant","""brilliant",1
"""bt","""bt",1
"""btw","""btw",1
"""bullshit"",","""bullshit"",",1
"""busi","""busi",1
"""call","""call",3
"""came","""came",1
"""campaign","""campaign",1
"""can","""can",4
"""candid","""candid",1
"""cant","""cant",2
"""capt","""capt",1
"""care","""care",1
"""cautiousfew","""cautiousfew",1
"""cbfc","""cbfc",1
"""chaacha","""chaacha",1
"""challeng","""challeng",1
"""chamanchu","""chamanchu",1
"""cheapcharli","""cheapcharli",1
"""cheatedhomebuy","""cheatedhomebuy",1
"""children","""children",1
"""chor","""chor",1
"""chowkidar","""chowkidar",4
"""clap","""clap",1
"""come","""come",5
"""communal","""communal",1
"""compar","""compar",1
"""complet","""complet",2
"""comprehens","""comprehens",1
"""concern","""concern",1
"""confer","""confer",1
"""cong","""cong",1
"""congrat","""congrat",1
"""congress","""congress",27
"""consist","""consist",1
"""contact","""contact",1
"""contract","""contract",1
"""cool"",","""cool"",",1
"""corner","""corner",1
"""countri","""countri",1
"""coupl","""coupl",1
"""cours","""cours",2
"""court","""court",1
