"","score","text","polarity"
"1",0,"RT @baburajvarma: SC hasn't dismissed any litigation by Dr @Swamy39 nor it has dismissed or nullified the MHA notice to @RahulGandhi it  ju…","neutral"
"2",0,"@abdulqu43404278 @nagma_morarji @RahulGandhi Your aware of it because your chowkidar 🤣🤣🤣🤣🤣","neutral"
"3",-1,"@timesofindia @RahulGandhi Good joke","negative"
"4",0,"RT @baburajvarma: SC hasn't dismissed any litigation by Dr @Swamy39 nor it has dismissed or nullified the MHA notice to @RahulGandhi it  ju…","neutral"
"5",0,"Proud of Punjab Police's Service. A Symbol of Rising Nation @capt_amarinder. @DGPPunjabPolice,Does this service is… https://t.co/oQ94baMzY0","neutral"
"6",0,"Last majority PM of @INCIndia. Most of Rahul “think tank” is from his cabinet or the sons of his cabinet. Let… https://t.co/sNX0JSThCM","neutral"
"7",0,"Two articles... Same magazine... Know the difference..!!!
@narendramodi 
@sudhirchaudhary 
@RajatSharmaLive… https://t.co/0j3t3cQK1Q","neutral"
"8",1,"@sampitroda .... in short @RahulGandhi is good for nothing","positive"
"9",1,"@sunetrac @ArvindKejriwal @BarackObama @narendramodi @RahulGandhi @htTweets 4 days and 2 great stories Sunetra. You… https://t.co/U7XYYHufc2","positive"
"10",1,"Hello @RahulGandhi! So your not so great grandfather, was HONEY TRAPPED by Mountbatten to get him to run to UN on K… https://t.co/p4fFrBDenS","positive"
"11",-1,"@SinanAlHarith @ndtv @RahulGandhi If I m stupid and just on the platform saying my father did this did that &amp; hasn'… https://t.co/4tVVXv0u4p","negative"
"12",0,"RT @MYaskhi: ""Mr Modi has been outmanoeuvred, outflanked and cut down, as far as the present and the future are concerned. So where else ca…","neutral"
"13",-2,"RT @VMuppi: here come the full blow of sabotage to @INCIndia by @sampitroda 

Look sir @RahulGandhi I am not a celebrity. Many hi-fi folks…","negative"
"14",0,"@BebakAawaj @RahulGandhi Let's see together on 23","neutral"
"15",0,"@RahulGandhi One thing which boggles me for every small thing you run to SC. File a case against the PM for maligni… https://t.co/yrRjNn01Fc","neutral"
"16",0,"@timesofindia @RahulGandhi We have seen your WINKING LOVE.","neutral"
"17",0,"RT @INCIndia: LIVE: Congress President @RahulGandhi addresses public meeting in Chandigarh. #AbHogaNyay https://t.co/wSVKo33aHo","neutral"
