"","word","freq"
"""aankhen","""aankhen",1
"""abe","""abe",1
"""abh","""abh",1
"""absolut","""absolut",2
"""absolut"",","""absolut"",",1
"""acknowledg","""acknowledg",1
"""acquit","""acquit",1
"""across","""across",13
"""action","""action",1
"""actual","""actual",2
"""ag","""ag",2
"""aggress","""aggress",2
"""agre","""agre",2
"""agre"",","""agre"",",1
"""aint","""aint",1
"""air","""air",1
"""alia","""alia",1
"""also","""also",3
"""alway","""alway",2
"""amaz","""amaz",2
"""amaz"",","""amaz"",",1
"""american","""american",1
"""amit","""amit",2
"""among","""among",1
"""anand","""anand",2
"""anoth","""anoth",4
"""anyon","""anyon",5
"""apolog","""apolog",1
"""apologis"",","""apologis"",",1
"""apologist","""apologist",1
"""appear","""appear",1
"""appreci","""appreci",1
"""arent","""arent",1
"""arithmet","""arithmet",1
"""arm","""arm",1
"""armi","""armi",1
"""arnab","""arnab",1
"""arrog","""arrog",2
"""ask","""ask",8
"""asksudhirmungantiwarpleaserestor","""asksudhirmungantiwarpleaserestor",1
"""associ","""associ",1
"""atleast","""atleast",1
"""aunti","""aunti",1
"""aurengzeb","""aurengzeb",1
"""aussi","""aussi",1
"""author","""author",1
"""awesom","""awesom",1
"""bbc","""bbc",10
"""bcz","""bcz",1
"""becom","""becom",1
"""behind","""behind",1
"""believ","""believ",4
"""bereft","""bereft",1
"""beshaq"",","""beshaq"",",1
"""best","""best",3
"""better","""better",4
"""bhai","""bhai",5
"""bhaiyya","""bhaiyya",1
"""big","""big",26
"""biggest","""biggest",2
"""bihar","""bihar",18
"""bilari","""bilari",1
"""bjp","""bjp",15
"""bla","""bla",1
"""brain","""brain",2
"""btw","""btw",2
"""bullshit"",","""bullshit"",",1
"""bye","""bye",1
"""cag","""cag",1
"""call","""call",1
"""campaign","""campaign",1
"""can","""can",4
"""cancel","""cancel",1
"""cant","""cant",3
"""chandra","""chandra",3
"""charact","""charact",1
"""choic","""choic",1
"""chowkidar","""chowkidar",4
"""classless","""classless",1
"""clean","""clean",1
"""cnns","""cnns",1
"""cold","""cold",1
"""come","""come",2
"""comment","""comment",2
"""compaign","""compaign",1
"""complet","""complet",2
"""confirm","""confirm",1
"""cong","""cong",4
"""congkaselfgoalhua","""congkaselfgoalhua",4
"""congratul","""congratul",3
"""congress","""congress",60
"""conspiraci"",","""conspiraci"",",1
"""context","""context",1
"""contrari","""contrari",1
"""corner","""corner",1
"""corrupt","""corrupt",3
"""counter","""counter",1
"""countri","""countri",2
"""courag","""courag",2
"""cours","""cours",1
"""courtesi","""courtesi",1
"""cp","""cp",7
"""cri","""cri",1
"""crime","""crime",1
"""crimin","""crimin",2
"""crocodil","""crocodil",1
"""crore","""crore",1
"""cur","""cur",1
"""dad","""dad",1
"""damag","""damag",1
"""dard"",","""dard"",",1
"""data","""data",1
"""day","""day",2
"""dear","""dear",46
"""delhi","""delhi",1
"""democraci"",","""democraci"",",1
"""desh","""desh",1
"""despit","""despit",2
"""deviat","""deviat",1
"""dick","""dick",1
"""didnt","""didnt",6
"""differ","""differ",1
"""diggi","""diggi",1
"""dirti","""dirti",1
"""disappoint","""disappoint",1
"""disast","""disast",1
"""discuss","""discuss",1
"""distract","""distract",1
"""divid","""divid",7
"""doctor","""doctor",1
"""donkey","""donkey",1
"""dont","""dont",33
"""dr","""dr",1
"""drug","""drug",1
"""dual","""dual",1
"""dumbest","""dumbest",1
"""eager","""eager",2
"""educ","""educ",1
"""elect","""elect",8
"""epic"",","""epic"",",1
"""even","""even",3
"""everi","""everi",1
"""everyon","""everyon",2
"""evid","""evid",1
"""evm","""evm",2
"""exact","""exact",1
"""excel","""excel",1
"""exclus","""exclus",18
"""exoner","""exoner",1
"""experi","""experi",1
"""fact","""fact",2
"""factcheck","""factcheck",1
"""fair","""fair",5
"""fake","""fake",1
"""famili","""famili",11
"""far","""far",1
"""father","""father",2
"""fed"",","""fed"",",1
"""feel","""feel",1
"""feku","""feku",1
"""fellow","""fellow",1
"""ff","""ff",1
"""fighter","""fighter",2
"""final","""final",1
"""finalllllyyyy","""finalllllyyyy",1
"""first","""first",2
"""fnind","""fnind",2
"""follow","""follow",1
"""fond","""fond",2
"""forgot","""forgot",2
"""former","""former",3
"""freakin","""freakin",1
"""free","""free",1
"""fresh","""fresh",1
"""friend","""friend",1
"""funni","""funni",3
"""gandhi","""gandhi",5
"""geetika","""geetika",1
"""genocid","""genocid",2
"""get","""get",2
"""give","""give",4
"""glad","""glad",4
"""go","""go",3
"""goe","""goe",1
"""good","""good",5
"""good"",","""good"",",4
"""great","""great",4
"""greatest","""greatest",1
"""greet","""greet",5
"""grown","""grown",1
"""gst","""gst",1
"""guess","""guess",3
"""guilt","""guilt",1
"""guru","""guru",1
"""guy","""guy",3
"""ha","""ha",2
"""haha","""haha",1
"""happen","""happen",1
"""harami","""harami",1
"""haramkhor","""haramkhor",1
"""hat"",","""hat"",",1
"""healthi","""healthi",1
"""hear","""hear",1
"""heard","""heard",1
"""heed","""heed",1
"""heheh","""heheh",1
"""hell","""hell",1
"""hello","""hello",3
"""help","""help",2
"""here","""here",14
"""hero","""hero",3
"""hes","""hes",2
"""hewho","""hewho",1
"""hey","""hey",1
"""hi","""hi",1
"""high","""high",2
"""hiindia","""hiindia",1
"""hind"",","""hind"",",1
"""hindi","""hindi",2
"""honour","""honour",1
"""hope","""hope",6
"""horrifi","""horrifi",1
"""how","""how",2
"""htexclus","""htexclus",8
"""hua","""hua",23
"""huatohua","""huatohua",4
"""huge","""huge",1
"""hum","""hum",1
"""husband","""husband",1
"""idiot","""idiot",2
"""ignor","""ignor",1
"""im","""im",1
"""imagin","""imagin",2
"""import","""import",2
"""imposs","""imposs",1
"""inc","""inc",1
"""incumb","""incumb",1
"""india","""india",5
"""indian","""indian",2
"""indiasdivideeimchief","""indiasdivideeimchief",1
"""indira","""indira",2
"""industrialoutput","""industrialoutput",1
"""initi","""initi",3
"""inslt","""inslt",1
"""instead","""instead",1
"""insviraatcharg","""insviraatcharg",2
"""interest","""interest",2
"""interest"",","""interest"",",2
"""intern","""intern",2
