"","score","text","polarity"
"1",0,"RT @varghesej835: @AmanKayamHai_ET @narendramodi EC has scheduled elections in 7 phases to help MODI cover all the states and do as much ra…","neutral"
"2",3,"RT @AviS2548: @TheShaktiRoopa @IPraveenDixit @narendramodi Mamata should give an award for that ...what a terrific change ...its like BEAUT…","positive"
"3",1,"RT @MaheshwarKinnal: Resume #GoaMining it is beneficial for entire Goa State by all ways.
@DrPramodPSawant @narendramodi @nstomar @sureshpp…","positive"
"4",0,"@kunalkamra88 @narendramodi I feel ashamed that I watched and liked your videos on YouTube.","neutral"
"5",1,"@narendramodi Nothing new PMSir.Members of Gandhi Nehru family have been like that only.All of them and their mento… https://t.co/zv7W4WJQzo","positive"
"6",0,"@ShashiTharoor Whts the low in it....ur party talks abt the ppl who bcame witnesses before 1947 era..u named them c… https://t.co/6YY4Q6TfAq","neutral"
"7",1,"RT @PRADEEPKHICHAR4: It is Indian judiciary system where 11 disqualified students stop joining process of more than 10k qualified students…","positive"
"8",-1,"RT @KamraSaby: #resumerrb7 #Resumerrb7 #ResumeRrb7 
It is really sad to see the esteemed judiciary giving date and again date to such an im…","negative"
"9",0,"RT @adesh9293: #ResumeRRB7
Again new date Alloted today and that too of JULY..!! Even I don't know the repercussion of this sir @narendramo…","neutral"
"10",1,"RT @yogi_arwind: It has amazed me all my life how Adi Shankara must have traveled on feet, the length &amp; breadth of erstwhile India few time…","positive"
"11",0,"RT @Indiamining: The tiny, micro &amp; small services, such as grocery stores &amp; motor mechanics &amp; the transport services provided by trucks &amp; b…","neutral"
"12",0,"RT @VishalHPrajapat: @AmanKayamHai_ET @KanchanGupta @narendramodi And thats why the naamdar kaamdar jibe.. he has to work that hard even af…","neutral"
"13",-1,"RT @suhelnarvekar: While economic slowdown is one of the concerns, workers are staring at job losses due to the closure of mining operation…","negative"
"14",0,"@Shehzad_Ind @narendramodi Shehzad pitstop will get his karma","neutral"
"15",1,"RT @akashbanerjee: 2016 - I had put @narendramodi on the cover of @TIME (April 1st issue) - along with champions of democracy like Putin/Ki…","positive"
"16",0,"@narendramodi You deserve it https://t.co/7P7T0ZieXt","neutral"
"17",0,"@krishnabhunia @RailMinIndia @RailwaySeva @PMOIndia @narendramodi @Central_Railway please look into the matter @sdmepa","neutral"
"18",0,"RT @suhelnarvekar: @Indiamining @MinesMinIndia @NITIAayog @ficci_india @SteelMinIndia @nstomar @narendramodi @makeinindia @transform_ind @m…","neutral"
"19",0,"What is the role of govt and it's head  in 1984
@RahulGandhi @INCIndia
@BJP4India
@narendramodi
@RamdashrathPan1… https://t.co/FKmYZoKxDQ","neutral"
"20",-1,"RT @narender_pargar: #ResumeRRB7 to 1 july ab hoga nyay or milega rojgar........shame on u political parties and shame on u media @PMOIndia…","negative"
"21",2,"RT @HindustaniTweet: My freinds cute daughter Kimaya wants @narendramodi Govt. back again. It is amazing how PM modi connects with young ki…","positive"
"22",-1,"RT @narsinha_g: Lakhs of people are left unemployed due to #Goamining ban.@Drpromodsawant@PMOIndia@Amitshah@narendramodi.","negative"
"23",1,"RT @GoaFront: It is not easy for the #GoaMining dependents drawing their income from a particular industry to shift to another industry. Wh…","positive"
"24",0,"RT @YashwantRaut19: @PMOIndia @RahulGandhi @AmitShah @narendramodi @DrPramodSawant2 @INCIndia @BJP4India @sudhirchaudhary  #GMPF Dear all,…","neutral"
"25",0,"RT @MaheshwarKinnal: #RestartGoaMining and save the lifeline of #GoaMining dependents
@DrPramodPSawant @narendramodi @BJP4India @BJP4Goa @M…","neutral"
"26",0,"RT @hiambuj: 5 minutes into the interview @Nidhi bombards the straight question, ""National security or DeMo, Jobs, economy"". &amp; Rebuttal on…","neutral"
"27",-1,"RT @hombale: Yes, I was on INS Viraat but crazy to think it was a holiday: Rahul Gandhi.
A 17 yr old boy on an official visit on INS VIRAT.…","negative"
"28",0,"@ncbn @narendramodi Worst PM ever in Indian history","neutral"
"29",0,"RT @ShefVaidya: Never understood why they call @narendramodi Divider-In-Chief, when he has managed to unite Mullahs, Missionaries, Marxists…","neutral"
"30",0,"RT @ausnik: @SreeIyer1 @ShefVaidya @Swamy39 @narendramodi  RK Laxman 1987 on Rajiv Gandhi using Navy for holiday!! https://t.co/10N6Jbfmt8","neutral"
"31",0,"@Raji_Iyer112 @HKA_2017 @Savitritvs @vijayshan @1967Vandana @anavrittim @vimalattweets @aditya2585 @iyerthewarrior… https://t.co/tfmDBeJmtU","neutral"
"32",0,"RT @MaheshwarKinnal: Resume #GoaMining to save our livelihood 
@narendramodi @sudhirchaudhary @BJP4India @BJP4Goa @GoaFront https://t.co/Kp…","neutral"
"33",-1,"@sunetrac @narendramodi @RahulGandhi @htTweets Very hard questions indeed..  Lots of questions on National Herald,… https://t.co/QssFWSePiJ","negative"
"34",-2,"RT @narendramodi: In Haryana, Congress brought a very poor culture of corruption and favouritism in governance matters. 

The BJP Governmen…","negative"
"35",0,"@narendramodi Great PM of India that’s PM Narendra Modi, Jai Hind.","neutral"
"36",-1,"RT @MakrandParanspe: Shows how Western media persists in its predictable distortions &amp; prejudices deploying re-Orientalists such a @AatishT…","negative"
"37",0,"@vidusri @TIME @narendramodi if it ""doesn't mean anything"" then no need to have so much angst on the latest cover I… https://t.co/Y0PC6yHrOL","neutral"
"38",-1,"@narendramodi Why on this? Let's get start with  indus valley civilisation .
Congress was rejected in 2014 because… https://t.co/fLgQODF5EG","negative"
"39",1,"RT @narendramodi: This is how Bankura welcomed me...Grateful for the immense love! https://t.co/QpGx2LFkU7","positive"
"40",-1,"@RahulGandhi @priyankagandhi will ever Dare to accept congress party's fault for '85 riots? Will you or ur party ap… https://t.co/SF3aFdlSjS","negative"
"41",-1,"RT @Bholenath: Like Tyrion Lannister said, ""I wish I was the monster you think I am."" @TIME and everyone else too wish @narendramodi was th…","negative"
"42",1,"@hemkap2816 @BJP4India win would ensure that Mallya, Nirav Modi, Lalit Modi &amp; Mehul Choksi are on run. #AnilAmbani… https://t.co/CKcHCShcCX","positive"
"43",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"44",-2,"RT @narendramodi: In Haryana, Congress brought a very poor culture of corruption and favouritism in governance matters. 

The BJP Governmen…","negative"
"45",1,"RT @narendramodi: Rousing response in Rohtak!

Happy to see several farmers and youngsters come to bless us. The people of Haryana are goin…","positive"
"46",0,"RT @narendramodi: Being in Himachal Pradesh is a delight. 

My mind goes back to the time I spent in the state working for the BJP Organisa…","neutral"
"47",-1,"RT @MakrandParanspe: Shows how Western media persists in its predictable distortions &amp; prejudices deploying re-Orientalists such a @AatishT…","negative"
"48",0,"@NagarJitendra @narendramodi Nice song ,😂😂😀😀","neutral"
"49",2,"RT @HittsVora: Just see the happiness nd joy in this family due to @narendramodi_in ji’s welfare schemes where for the first time they are…","positive"
