"","word","freq"
"""aap","""aap",1
"""aapk","""aapk",1
"""aatishtas","""aatishtas",1
"""aayega","""aayega",1
"""aazaadii","""aazaadii",8
"""abe","""abe",1
"""absolut","""absolut",2
"""abstain","""abstain",2
"""abus","""abus",8
"""accus","""accus",1
"""actual","""actual",2
"""adishankara","""adishankara",1
"""admir","""admir",7
"""adopt","""adopt",1
"""age","""age",1
"""agra","""agra",1
"""agre","""agre",4
"""ah","""ah",1
"""air","""air",1
"""ais","""ais",1
"""allow","""allow",1
"""also","""also",5
"""amaz","""amaz",20
"""anger","""anger",1
"""anoth","""anoth",1
"""anti"",","""anti"",",1
"""ap","""ap",1
"""apolog","""apolog",1
"""apologist","""apologist",1
"""appeal","""appeal",9
"""appear","""appear",1
"""appreci","""appreci",3
"""apt"",","""apt"",",1
"""architect","""architect",1
"""argu","""argu",1
"""arithmet","""arithmet",1
"""articl","""articl",6
"""asham","""asham",4
"""ask","""ask",2
"""assur","""assur",1
"""attempt","""attempt",1
"""awesom","""awesom",3
"""bahut","""bahut",1
"""ball","""ball",2
"""baluchistan","""baluchistan",1
"""bankura","""bankura",9
"""believ","""believ",1
"""bereft","""bereft",1
"""beshaq"",","""beshaq"",",1
"""best","""best",3
"""better","""better",1
"""bhai","""bhai",2
"""bhakt"",","""bhakt"",",3
"""billion","""billion",1
"""bjp","""bjp",14
"""blabber","""blabber",2
"""blatant","""blatant",1
"""bofor","""bofor",1
"""book","""book",1
"""boss","""boss",1
"""bought","""bought",2
"""bring","""bring",1
"""btech","""btech",1
"""btw","""btw",1
"""btwi","""btwi",1
"""call","""call",3
"""campaign","""campaign",12
"""can","""can",7
"""cant","""cant",2
"""capabl","""capabl",1
"""care","""care",1
"""carri","""carri",1
"""cbn","""cbn",2
"""cha"",","""cha"",",1
"""chal","""chal",4
"""chandrababu","""chandrababu",1
"""chang","""chang",1
"""chattopadhyay","""chattopadhyay",1
"""chaukidaar","""chaukidaar",1
"""chor","""chor",1
"""chowkidar","""chowkidar",3
"""chowkidarchorhai","""chowkidarchorhai",1
"""classic","""classic",1
"""clear","""clear",1
"""click","""click",6
"""come","""come",2
"""comment","""comment",1
"""common","""common",1
"""complet","""complet",1
"""conduct","""conduct",1
"""confirm","""confirm",1
"""congrat"",","""congrat"",",1
"""congratul","""congratul",3
"""congress","""congress",2
"""correct","""correct",3
"""correct"",","""correct"",",1
"""corrupt","""corrupt",1
"""couldnt","""couldnt",4
"""cover","""cover",10
"""cri","""cri",2
"""crimin","""crimin",2
"""crocodil","""crocodil",1
"""crore","""crore",1
"""dad","""dad",1
"""dare","""dare",1
"""day","""day",1
"""dear","""dear",23
"""deargst","""deargst",1
"""declin","""declin",1
"""deflect","""deflect",1
"""delhi","""delhi",4
"""delhirap","""delhirap",1
"""demand","""demand",2
"""despit","""despit",1
"""develop","""develop",1
"""dick","""dick",1
"""didiinstead","""didiinstead",5
"""didnt","""didnt",3
"""disast","""disast",1
"""disgust","""disgust",2
"""divid","""divid",1
"""dividerinchief","""dividerinchief",1
"""doesnt","""doesnt",1
"""dog","""dog",1
"""done","""done",2
"""donkey","""donkey",1
"""dont","""dont",13
"""doubt","""doubt",1
"""drop","""drop",1
"""due","""due",1
"""earth","""earth",1
"""educ","""educ",1
"""elect","""elect",1
"""elect"",","""elect"",",1
"""els","""els",1
"""energi","""energi",1
"""english","""english",1
"""enjoy","""enjoy",1
"""enough","""enough",1
"""evensoapopera","""evensoapopera",1
"""everi","""everi",2
"""everyon","""everyon",1
"""everyth","""everyth",1
"""exact","""exact",1
"""exact"",","""exact"",",1
"""excel","""excel",1
"""except","""except",1
"""excit","""excit",2
"""exclusiveinterview","""exclusiveinterview",1
"""exoner","""exoner",1
"""expect","""expect",4
"""expect"",","""expect"",",1
"""export","""export",1
"""fact","""fact",1
"""fail","""fail",1
"""fair","""fair",1
"""fake","""fake",1
"""fakepeopl","""fakepeopl",1
"""famili","""famili",2
"""feel","""feel",26
"""femal","""femal",3
"""final","""final",2
"""finalllllyyyy","""finalllllyyyy",1
"""findnot","""findnot",1
"""fir","""fir",1
"""fir"",","""fir"",",1
"""first","""first",2
"""fnind","""fnind",1
"""follow","""follow",2
"""fond","""fond",1
"""foreign","""foreign",1
"""forens","""forens",1
"""four","""four",2
"""freakin","""freakin",1
"""freind","""freind",12
"""full","""full",9
"""fyi","""fyi",1
"""fyi"",","""fyi"",",1
"""gambhir","""gambhir",1
"""general","""general",1
"""genocid","""genocid",1
"""get","""get",3
"""gift","""gift",1
"""give","""give",10
"""global","""global",7
"""go","""go",8
"""goa","""goa",1
"""goamin","""goamin",7
"""godi","""godi",1
"""good","""good",5
"""govern","""govern",4
"""governor","""governor",1
"""govt","""govt",1
"""grate","""grate",1
"""great","""great",4
"""guess","""guess",1
"""gujarat","""gujarat",1
"""guy","""guy",3
"""ha","""ha",1
"""hahaha","""hahaha",2
"""half","""half",1
"""happen","""happen",1
"""happi","""happi",2
"""har","""har",1
"""haryana","""haryana",36
"""hasnt","""hasnt",3
"""hat"",","""hat"",",1
"""hate","""hate",17
"""havent","""havent",1
"""head","""head",1
"""hear","""hear",1
"""hell","""hell",1
"""hello","""hello",2
"""henc","""henc",1
"""hero","""hero",1
"""hey","""hey",1
"""hi","""hi",1
"""high","""high",1
"""himach","""himach",94
"""hint","""hint",1
"""histori","""histori",1
"""hmm","""hmm",1
"""home","""home",1
"""homebuy","""homebuy",2
"""honbl","""honbl",15
"""hope","""hope",4
"""hour","""hour",1
"""hua","""hua",3
"""huatohhua","""huatohhua",1
"""hug","""hug",1
"""huge","""huge",1
"""humsufar","""humsufar",1
"""hundr","""hundr",1
"""ibc","""ibc",1
"""idiot","""idiot",3
"""ill","""ill",1
"""im","""im",5
"""imam","""imam",1
"""in","""in",2
"""inde","""inde",1
"""india","""india",12
"""indiaelectionwatch","""indiaelectionwatch",4
"""indian","""indian",4
"""indiasdivideeimchief","""indiasdivideeimchief",1
"""industrialoutput","""industrialoutput",1
"""initi","""initi",3
"""insvirat","""insvirat",1
"""intern","""intern",1
"""interview","""interview",1
"""intrigu","""intrigu",1
"""issu","""issu",2
"""istandwithgambhir","""istandwithgambhir",5
"""ithuku","""ithuku",1
"""jai","""jai",1
"""jaitley","""jaitley",1
"""jammu","""jammu",1
"""jay","""jay",1
"""jeemain","""jeemain",1
"""ji","""ji",6
"""jihadi","""jihadi",1
"""jitegamodijitegabharat","""jitegamodijitegabharat",4
"""jitegamodijitegabharatistandwithgautamgambhircongress","""jitegamodijitegabharatistandwithgautamgambhircongress",1
"""join","""join",1
"""joke","""joke",1
"""just","""just",9
"""justask","""justask",1
"""karan","""karan",1
"""keep","""keep",2
"""kid","""kid",1
"""kind","""kind",3
"""kisaan","""kisaan",1
"""knock","""knock",1
"""know","""know",3
"""lakh","""lakh",1
"""lamaobtw","""lamaobtw",1
"""lame","""lame",1
"""laser","""laser",1
"""last","""last",10
"""latest","""latest",5
"""lbgt","""lbgt",1
"""leadership","""leadership",1
"""leagu","""leagu",1
"""least","""least",2
"""let","""let",2
"""licens","""licens",1
"""lie","""lie",1
"""like","""like",8
"""liken","""liken",6
"""lion","""lion",3
"""list","""list",1
"""live","""live",1
"""lmao","""lmao",1
"""loksabhaelect","""loksabhaelect",1
"""lol","""lol",1
"""long","""long",2
"""look","""look",23
"""lot","""lot",1
"""love","""love",2
"""love"",","""love"",",1
"""maafi","""maafi",1
"""madhu","""madhu",1
"""magazin","""magazin",1
"""maharashtra","""maharashtra",1
"""main","""main",2
"""mani","""mani",5
"""masla","""masla",1
"""matter","""matter",1
"""matur","""matur",1
"""maximum","""maximum",1
"""may","""may",1
"""meant","""meant",1
"""media","""media",2
"""messag","""messag",1
"""middleclasstalk","""middleclasstalk",1
"""might","""might",5
"""mine","""mine",7
"""minut","""minut",11
"""miss","""miss",1
"""modi","""modi",15
"""modi"",","""modi"",",1
"""modiji","""modiji",1
"""modionze","""modionze",13
"""morn","""morn",1
"""mother","""mother",1
"""mr","""mr",5
"""ms","""ms",1
"""much","""much",3
"""music","""music",1
"""muslim","""muslim",4
"""myogiadityanath","""myogiadityanath",3
"""narendra","""narendra",2
"""narendramodi","""narendramodi",1
"""nauseat","""nauseat",1
"""navi","""navi",1
"""nda","""nda",5
"""need","""need",2
"""neither","""neither",4
"""never","""never",71
"""new","""new",2
"""newsalert","""newsalert",1
"""next","""next",4
"""nice"",","""nice"",",2
"""nobodi","""nobodi",1
"""nonmuslim","""nonmuslim",1
"""noth","""noth",2
"""notori","""notori",1
"""now","""now",7
"""nps","""nps",6
"""npsgoback","""npsgoback",3
"""number","""number",1
"""o"",","""o"",",1
"""obsess","""obsess",1
"""offic","""offic",1
"""oh","""oh",5
"""ohh","""ohh",1
"""ok","""ok",1
"""one","""one",52
"""oop","""oop",1
"""other","""other",1
"""pakistan","""pakistan",1
"""pappu","""pappu",1
"""parent","""parent",1
"""part","""part",2
"""parti","""parti",1
"""pass","""pass",1
"""patni","""patni",1
"""pehl","""pehl",1
"""pension","""pension",1
"""peopl","""peopl",5
"""per","""per",1
"""perciev","""perciev",1
"""perfect","""perfect",2
"""pitroda","""pitroda",2
"""pl","""pl",1
"""plan","""plan",1
"""pleas","""pleas",14
"""plz","""plz",5
"""pm","""pm",19
"""pnr","""pnr",2
"""poetic","""poetic",2
"""point","""point",1
"""point"",","""point"",",1
"""polit","""polit",1
"""poor","""poor",1
"""populist","""populist",1
"""post","""post",1
"""preeti","""preeti",1
"""presid","""presid",1
"""press","""press",1
"""presstitut","""presstitut",2
"""previous","""previous",1
"""privat","""privat",1
"""privileg","""privileg",1
"""promish","""promish",1
"""propaganda","""propaganda",2
"""prosecut","""prosecut",1
"""public","""public",2
"""pundit","""pundit",1
"""punish","""punish",1
"""put","""put",3
"""quit","""quit",2
"""rahul","""rahul",2
"""rajiv","""rajiv",2
"""ralli","""ralli",6
"""ramadan","""ramadan",1
"""ramdev","""ramdev",1
"""rd","""rd",1
"""read","""read",3
"""real","""real",1
"""realiti","""realiti",2
"""realli","""realli",9
"""reflect","""reflect",3
"""regardless","""regardless",1
"""religion","""religion",1
"""remov","""remov",1
"""repm","""repm",2
"""report","""report",33
"""repost","""repost",1
"""republ","""republ",1
"""request","""request",2
"""reserv","""reserv",1
"""resid","""resid",1
"""resolv","""resolv",1
"""respect","""respect",1
"""respons","""respons",1
"""restart","""restart",1
"""restartgoamin","""restartgoamin",1
"""restartgoaminingiron","""restartgoaminingiron",1
"""resum","""resum",1
"""resumerrb","""resumerrb",3
"""resumerrbagain","""resumerrbagain",1
"""rg","""rg",1
"""right","""right",3
"""rise","""rise",14
"""ritualist","""ritualist",1
"""rk","""rk",33
"""rklaxman","""rklaxman",1
"""roadmap","""roadmap",1
"""rous","""rous",33
"""rs","""rs",1
"""rubbish","""rubbish",1
"""said","""said",2
"""sam","""sam",35
"""savarkar","""savarkar",1
"""save","""save",4
"""say","""say",2
"""second","""second",2
"""see","""see",10
"""seek","""seek",1
"""seem","""seem",3
"""serious","""serious",1
"""settl"",","""settl"",",1
"""sewer","""sewer",1
